date,close
2023-12-01,191.12
2023-12-04,189.95
2023-12-05,189.68
2023-12-06,190.48
2023-12-07,189.95
2023-12-08,194.27
2023-12-11,194.09
2023-12-12,193.15
2023-12-13,192.53
2023-12-14,193.58
2023-12-15,193.80
2023-12-18,195.62
2023-12-19,197.96
2023-12-20,194.82
2023-12-21,194.09
2023-12-22,193.60
2023-12-26,193.58
2023-12-27,193.15
2023-12-28,193.58
2023-12-29,192.53
2024-01-02,185.64
2024-01-03,184.25
2024-01-04,181.91
2024-01-05,181.55
2024-01-08,185.56
2024-01-09,185.59
2024-01-10,182.64
2024-01-11,185.43
2024-01-12,186.82
2024-01-16,183.69
2024-01-17,183.96
2024-01-18,184.09
2024-01-19,182.63
2024-01-22,184.31
2024-01-23,184.25
2024-01-24,183.96
2024-01-25,183.89
2024-01-26,184.28
2024-01-29,183.43
2024-01-30,184.98
2024-01-31,184.25
2024-02-01,184.30
2024-02-02,184.24
2024-02-05,181.84
2024-02-06,183.69
2024-02-07,184.90
2024-02-08,183.82
2024-02-09,188.81
2024-02-12,188.21
2024-02-13,187.03
2024-02-14,188.47
2024-02-15,184.31
2024-02-16,182.63
2024-02-20,181.09
2024-02-21,181.16
2024-02-22,182.64
2024-02-23,182.66
2024-02-26,180.07
2024-02-27,180.03
2024-02-28,180.79
2024-02-29,181.18
2024-03-01,180.54
2024-03-04,179.48
2024-03-05,175.05
2024-03-06,174.82
2024-03-07,173.15
2024-03-08,172.45
2024-03-11,173.14
2024-03-12,173.03
2024-03-13,170.80
2024-03-14,172.40
2024-03-15,171.15
2024-03-18,173.31
2024-03-19,173.05
2024-03-20,171.45
2024-03-21,171.67
2024-03-22,173.15
2024-03-25,170.35
2024-03-26,171.48
2024-03-27,173.57
2024-03-28,171.25
